训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.6809 acc 0.0068 | val 头内Δacc +0.0091 **全局Δacc +0.0080** | alpha 0.9990
  ep1 train loss 0.6803 acc 0.0094 | val 头内Δacc +0.0107 **全局Δacc +0.0090** | alpha 0.9990
  ep2 train loss 0.6800 acc 0.0085 | val 头内Δacc +0.0086 **全局Δacc +0.0106** | alpha 0.9990
  ep3 train loss 0.6793 acc 0.0068 | val 头内Δacc +0.0068 **全局Δacc +0.0075** | alpha 0.9990
  ep4 train loss 0.6804 acc 0.0056 | val 头内Δacc +0.0059 **全局Δacc +0.0059** | alpha 0.9990
  ep5 train loss 0.6809 acc 0.0052 | val 头内Δacc +0.0054 **全局Δacc +0.0079** | alpha 0.9990
  ep6 train loss 0.6801 acc 0.0054 | val 头内Δacc +0.0054 **全局Δacc +0.0085** | alpha 0.9990
  ep7 train loss 0.6807 acc 0.0056 | val 头内Δacc +0.0054 **全局Δacc +0.0068** | alpha 0.9990
  ep8 train loss 0.6800 acc 0.0058 | val 头内Δacc +0.0056 **全局Δacc +0.0065** | alpha 0.9990
  ep9 train loss 0.6802 acc 0.0059 | val 头内Δacc +0.0057 **全局Δacc +0.0075** | alpha 0.9990
  ep10 train loss 0.6794 acc 0.0065 | val 头内Δacc +0.0056 **全局Δacc +0.0086** | alpha 0.9990
  ep11 train loss 0.6793 acc 0.0065 | val 头内Δacc +0.0058 **全局Δacc +0.0079** | alpha 0.9990
  ep12 train loss 0.6791 acc 0.0070 | val 头内Δacc +0.0065 **全局Δacc +0.0090** | alpha 0.9990
  ep13 train loss 0.6777 acc 0.0074 | val 头内Δacc +0.0071 **全局Δacc +0.0086** | alpha 0.9990
  ep14 train loss 0.6772 acc 0.0083 | val 头内Δacc +0.0077 **全局Δacc +0.0086** | alpha 0.9990
  ep15 train loss 0.6765 acc 0.0092 | val 头内Δacc +0.0081 **全局Δacc +0.0103** | alpha 0.9990
  ep16 train loss 0.6745 acc 0.0099 | val 头内Δacc +0.0088 **全局Δacc +0.0096** | alpha 0.9990
  ep17 train loss 0.6742 acc 0.0103 | val 头内Δacc +0.0090 **全局Δacc +0.0116** | alpha 0.9990
