训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.9423 acc -0.0004 | val 头内Δacc -0.0021 **全局Δacc +0.0026** | alpha 0.9990
  ep1 train loss 0.8269 acc -0.0052 | val 头内Δacc -0.0088 **全局Δacc -0.0030** | alpha 0.9990
  ep2 train loss 0.7565 acc -0.0146 | val 头内Δacc -0.0185 **全局Δacc -0.0129** | alpha 0.9990
  ep3 train loss 0.7220 acc -0.0165 | val 头内Δacc -0.0092 **全局Δacc -0.0012** | alpha 0.9990
  ep4 train loss 0.6986 acc -0.0055 | val 头内Δacc -0.0014 **全局Δacc +0.0010** | alpha 0.9990
  ep5 train loss 0.6809 acc -0.0016 | val 头内Δacc -0.0015 **全局Δacc +0.0024** | alpha 0.9990
  ep6 train loss 0.6686 acc -0.0012 | val 头内Δacc -0.0002 **全局Δacc +0.0060** | alpha 0.9990
  ep7 train loss 0.6657 acc -0.0004 | val 头内Δacc -0.0003 **全局Δacc +0.0064** | alpha 0.9990
  ep8 train loss 0.6638 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0050** | alpha 0.9990
  ep9 train loss 0.6633 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0064** | alpha 0.9990
  ep10 train loss 0.6628 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0033** | alpha 0.9990
  ep11 train loss 0.6623 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0030** | alpha 0.9990
  ep12 train loss 0.6618 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0037** | alpha 0.9990
  ep13 train loss 0.6610 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0047** | alpha 0.9990
  ep14 train loss 0.6610 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0062** | alpha 0.9990
  ep15 train loss 0.6611 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0072** | alpha 0.9990
  ep16 train loss 0.6600 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0096** | alpha 0.9990
  ep17 train loss 0.6601 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0134** | alpha 0.9990
  ep18 train loss 0.6595 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0148** | alpha 0.9990
  ep19 train loss 0.6600 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0195** | alpha 0.9990
  ep20 train loss 0.6598 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0211** | alpha 0.9990
  ep21 train loss 0.6592 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0241** | alpha 0.9990
  ep22 train loss 0.6589 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0306** | alpha 0.9990
