训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.8200 acc -0.0493 | val 头内Δacc -0.0504 **全局Δacc -0.0222** | alpha 0.3490
  ep1 train loss 0.7530 acc -0.0405 | val 头内Δacc -0.0355 **全局Δacc -0.0145** | alpha 0.3490
  ep2 train loss 0.6957 acc -0.0223 | val 头内Δacc -0.0074 **全局Δacc -0.0080** | alpha 0.3490
  ep3 train loss 0.6769 acc -0.0016 | val 头内Δacc +0.0000 **全局Δacc -0.0026** | alpha 0.3490
  ep4 train loss 0.6802 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0016** | alpha 0.3490
  ep5 train loss 0.6724 acc -0.0001 | val 头内Δacc -0.0006 **全局Δacc -0.0034** | alpha 0.3490
  ep6 train loss 0.6703 acc -0.0005 | val 头内Δacc -0.0005 **全局Δacc -0.0030** | alpha 0.3490
  ep7 train loss 0.6706 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc -0.0020** | alpha 0.3490
  ep8 train loss 0.6693 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0004** | alpha 0.3490
  ep9 train loss 0.6695 acc -0.0003 | val 头内Δacc -0.0003 **全局Δacc +0.0011** | alpha 0.3490
  ep10 train loss 0.6700 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0024** | alpha 0.3490
  ep11 train loss 0.6687 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0031** | alpha 0.3490
  ep12 train loss 0.6694 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0041** | alpha 0.3490
  ep13 train loss 0.6682 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0045** | alpha 0.3490
  ep14 train loss 0.6689 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0048** | alpha 0.3490
  ep15 train loss 0.6682 acc -0.0001 | val 头内Δacc -0.0003 **全局Δacc +0.0042** | alpha 0.3490
