训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.6824 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0129** | alpha 1.2500
  ep1 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0162** | alpha 1.2500
  ep2 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0154** | alpha 1.2500
  ep3 train loss 0.6818 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0158** | alpha 1.2500
  ep4 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0182** | alpha 1.2500
  ep5 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0184** | alpha 1.2500
  ep6 train loss 0.6825 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0218** | alpha 1.2500
  ep7 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0245** | alpha 1.2500
  ep8 train loss 0.6819 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0265** | alpha 1.2500
  ep9 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0272** | alpha 1.2500
  ep10 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0271** | alpha 1.2500
  ep11 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0302** | alpha 1.2500
  ep12 train loss 0.6827 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0316** | alpha 1.2500
  ep13 train loss 0.6810 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0349** | alpha 1.2500
  ep14 train loss 0.6805 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0406** | alpha 1.2500
  ep15 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0473** | alpha 1.2500
  ep16 train loss 0.6811 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0562** | alpha 1.2500
  ep17 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0639** | alpha 1.2500
  ep18 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0712** | alpha 1.2500
  ep19 train loss 0.6827 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0777** | alpha 1.2500
  ep20 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0815** | alpha 1.2500
  ep21 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0879** | alpha 1.2500
  ep22 train loss 0.6814 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0923** | alpha 1.2500
  ep23 train loss 0.6811 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0975** | alpha 1.2500
  ep24 train loss 0.6811 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1023** | alpha 1.2500
  ep25 train loss 0.6816 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1050** | alpha 1.2500
  ep26 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1057** | alpha 1.2500
  ep27 train loss 0.6816 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1114** | alpha 1.2500
  ep28 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1138** | alpha 1.2500
  ep29 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1173** | alpha 1.2500
  ep30 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1218** | alpha 1.2500
  ep31 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1266** | alpha 1.2500
  ep32 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1278** | alpha 1.2500
  ep33 train loss 0.6809 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1311** | alpha 1.2500
  ep34 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1349** | alpha 1.2500
  ep35 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1382** | alpha 1.2500
  ep36 train loss 0.6807 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1414** | alpha 1.2500
  ep37 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1421** | alpha 1.2500
  ep38 train loss 0.6818 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1438** | alpha 1.2500
  ep39 train loss 0.6814 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1441** | alpha 1.2500

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 +0.1441
==============================================================================
